seq_id	Gene/ORF	Species	Plasmid	GenBank no.	Position	Size	Rep-family	Protein	Domain I	Domain II
repM200[pBM200][DQ437521]	repM200	B. megaterium	pBM200	DQ437521	3725–4423	699	Unique	RCR protein		
repR[pEF1][DQ198088]	repR	E. faecium	pEF1	DQ198088	16296–17789	1494	2	Primase	PriCT-1	
repR[pGB354][U83488]	repR	S. agactiae	pGB354	U83488	5–1495	1491	1	Primase	PriCT-1	
repR[pIP501][X17655]	repR	E. faecalis	pIP501	X17655	621–2111	1491	1	Primase	PriCT-1	
repR[pVEF1][NC008768]	repR	E. faecium	pVEF1	NC_008768	23488–24981	1494	2	Primase	PriCT-1	
repR[pVEF2][NC008821]	repR	E. faecium	pVEF2	NC_008821	23576–25069	1494	2	Primase	PriCT-1	
rep[orf30][pIP816][unpublished]	repR⁎	E. faecium BM4147	pIP816	NC_011140	ORF30	1426	2	Primase	PriCT-1	
repS[pBT233][X64695]	repS	Streptococcus pyogenes	pBT233	X64695	503–1993	1491	1	Primase	PriCT-1	
repS[pMD101][X66468]	repS	S. pyogenes	pMD101	X66468	638–2128	1491	1	Primase	PriCT-1	
repS[pSM19035][AY357120]	repS	S. sanguis	pSM19035	AY357120	16813–15323	1491	1	Primase	PriCT-1	
repS2[pSM19035][AY357120]	repS2	S. sanguis	pSM19035	AY357120	2128–638	1491	1	Primase	PriCT-1	
rep1[pJB01][NC006427]	rep1	E. faecalis	pJB01	NC006427	NA	201	Unique	na		
rep2[pC223][NC005243]	rep2	S. sanguis	pC223	NC005243	na	155	Unique	na				
rep1[pWBG1773][EF537646]	rep1	S. sanguis	pWBG1773	EF537646	na	160	Unique	NA
